Basic Block,Assembly,Source Line,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Module Path,Function Range Size,Start Address
0x3bd08,vzeroupper ,361,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd0b,callq  0xa330 <pll_aligned_alloc>,361,0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,0,,0.500000,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bd10,Block 7,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd10,"mov %rax, %r14",361,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd13,"test %r14, %r14",365,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd16,jz 0x3d7fa <Block 148>,365,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd1c,Block 8,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd1c,"mov %r15, %rdi",372,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd1f,"mov $0x40, %esi",372,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd24,callq  0xa330 <pll_aligned_alloc>,372,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd29,Block 9,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd29,"mov %rax, %r13",372,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd2c,"test %r13, %r13",376,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd2f,jz 0x3d7a7 <Block 144>,376,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd35,Block 10,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd35,"mov %r14, %rdi",382,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd38,"xor %esi, %esi",382,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd3a,"mov %r15, %rdx",382,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd3d,callq  0x9ee0 <__intel_avx_rep_memset>,382,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd42,Block 11,[Unknown],0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,,1.000000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bd42,"mov %r13, %rdi",383,0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bd45,"xor %esi, %esi",383,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd47,"mov %r15, %rdx",383,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd4a,callq  0x9ee0 <__intel_avx_rep_memset>,383,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd4f,Block 12,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd4f,"xor %ecx, %ecx",386,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd51,"test %ebx, %ebx",386,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd53,jbe 0x3c2cf <Block 24>,386,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd59,Block 13,[Unknown],0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,0,,0.500000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bd59,"vmovdquy  0x3997f(%rip), %ymm2",389,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd61,"mov $0xff, %eax",389,0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bd66,"kmovw %eax, %k1",389,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd6a,"mov $0x8, %edx",391,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd6f,"mov $0xc0, %esi",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd74,"movq  0x10(%rbp), %r11",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
